"game_decision","points","field_goals","field_goal_attempts","field_goal_percentage","X3pointers","X3pointer_attempts","X3pointer_percentage","free_throws","free_throw_attempts","free_throw_percentage","offensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","personal_fouls","Home","Away","Neutral"
0,49,15,43,0.349,3,9,0.333,16,22,0.727,7,27,8,4,3,16,13,0,1,0
1,82,34,69,0.493,5,15,0.333,9,13,0.692,13,46,19,3,5,8,13,1,0,0
0,62,19,44,0.432,3,15,0.2,21,31,0.677,6,19,10,2,3,10,15,1,0,0
1,74,28,57,0.491,8,17,0.471,10,15,0.667,9,38,19,4,4,14,16,0,0,1
1,90,34,66,0.515,9,17,0.529,13,18,0.722,16,36,13,5,1,10,14,0,1,0
1,90,34,60,0.567,14,21,0.667,8,11,0.727,11,41,20,4,1,15,16,1,0,0
1,86,32,52,0.615,8,17,0.471,14,20,0.7,8,31,20,8,5,13,5,1,0,0
0,60,24,50,0.48,6,21,0.286,6,10,0.6,7,32,11,7,4,17,14,0,1,0
1,83,33,60,0.55,6,19,0.316,11,13,0.846,6,37,16,3,4,14,9,0,0,1
1,56,22,65,0.338,8,33,0.242,4,11,0.364,13,34,14,9,0,9,10,0,0,1
0,48,19,50,0.38,6,14,0.429,4,10,0.4,9,25,9,7,3,9,20,0,1,0
1,66,25,65,0.385,8,21,0.381,8,9,0.889,13,35,11,7,1,11,9,0,1,0
0,54,20,59,0.339,2,15,0.133,12,17,0.706,12,30,9,5,4,8,10,1,0,0
1,62,21,47,0.447,9,21,0.429,11,16,0.688,12,37,16,4,2,12,11,1,0,0
1,83,30,55,0.545,13,25,0.52,10,14,0.714,12,35,17,3,3,10,16,1,0,0
1,81,27,63,0.429,13,29,0.448,14,20,0.7,13,34,20,6,3,10,11,0,1,0
0,72,28,72,0.389,9,24,0.375,7,12,0.583,10,27,17,5,5,5,19,0,1,0
1,88,33,59,0.559,5,21,0.238,17,24,0.708,11,44,19,4,9,17,18,1,0,0
1,86,32,65,0.492,10,19,0.526,12,16,0.75,15,45,19,4,4,12,22,1,0,0
1,74,26,56,0.464,6,15,0.4,16,22,0.727,14,36,8,5,2,15,14,1,0,0
0,64,25,56,0.446,5,14,0.357,9,15,0.6,7,24,6,4,0,10,13,0,1,0
1,63,21,58,0.362,8,19,0.421,13,16,0.813,14,44,12,4,4,10,16,0,0,1
1,71,21,42,0.5,10,24,0.417,19,28,0.679,8,30,14,6,1,14,21,0,1,0
1,65,20,44,0.455,5,16,0.313,20,25,0.8,7,33,12,7,2,16,13,1,0,0
0,49,17,48,0.354,4,13,0.308,11,14,0.786,6,24,8,5,3,8,12,1,0,0
0,52,20,57,0.351,4,14,0.286,8,10,0.8,9,36,8,6,1,18,18,0,1,0
1,56,19,46,0.413,5,12,0.417,13,18,0.722,10,34,6,2,3,14,17,1,0,0
0,60,26,60,0.433,2,10,0.2,6,12,0.5,10,33,12,3,2,6,12,1,0,0
1,85,28,53,0.528,4,11,0.364,25,32,0.781,4,17,14,9,4,11,17,0,1,0
1,57,21,51,0.412,5,16,0.313,10,18,0.556,11,36,13,12,4,14,12,0,1,0
1,69,23,52,0.442,5,11,0.455,18,19,0.947,5,30,9,9,2,9,14,0,1,0
1,80,24,46,0.522,9,19,0.474,23,31,0.742,7,29,18,6,1,10,17,1,0,0
1,62,21,46,0.457,1,11,0.091,19,21,0.905,8,32,9,6,2,11,12,0,1,0
1,47,19,53,0.358,3,11,0.273,6,11,0.545,10,39,6,5,1,13,18,0,1,0
1,77,31,56,0.554,10,20,0.5,5,8,0.625,5,23,23,9,1,6,7,0,1,0
1,79,22,42,0.524,6,9,0.667,29,38,0.763,4,21,9,9,3,13,20,1,0,0
0,60,23,61,0.377,8,25,0.32,6,10,0.6,11,29,15,6,1,7,16,0,0,1
1,88,29,55,0.527,12,19,0.632,18,26,0.692,8,27,18,10,1,13,20,1,0,0
1,58,18,54,0.333,3,11,0.273,19,28,0.679,14,36,9,8,5,12,12,0,1,0
1,88,26,55,0.473,9,26,0.346,27,30,0.9,9,34,11,2,2,12,20,0,1,0
1,71,24,45,0.533,6,10,0.6,17,21,0.81,4,28,14,4,0,14,17,0,1,0
1,75,21,51,0.412,7,16,0.438,26,29,0.897,10,40,17,2,4,17,18,0,1,0
1,73,26,51,0.51,5,21,0.238,16,23,0.696,11,32,11,6,1,13,13,1,0,0
1,69,22,45,0.489,6,16,0.375,19,23,0.826,5,33,12,6,1,12,19,0,1,0
1,81,27,52,0.519,6,12,0.5,21,32,0.656,5,27,15,3,0,6,21,1,0,0
1,78,26,60,0.433,5,14,0.357,21,28,0.75,12,33,13,9,2,9,14,1,0,0
1,90,32,61,0.525,7,13,0.538,19,24,0.792,10,31,20,7,2,10,18,1,0,0
1,78,25,57,0.439,3,13,0.231,25,31,0.806,10,31,8,4,2,8,17,1,0,0
1,74,29,70,0.414,8,23,0.348,8,10,0.8,10,38,15,4,2,3,20,0,1,0
1,80,30,62,0.484,7,14,0.5,13,16,0.813,7,31,16,8,4,13,18,1,0,0
1,63,18,46,0.391,6,14,0.429,21,25,0.84,9,32,8,7,0,16,23,0,1,0
0,53,21,53,0.396,2,15,0.133,9,14,0.643,6,32,10,2,6,9,22,0,1,0
1,88,32,56,0.571,3,5,0.6,21,29,0.724,9,33,11,2,1,11,15,0,1,0
0,73,26,54,0.481,3,11,0.273,18,28,0.643,7,34,5,2,3,15,23,0,1,0
1,75,25,59,0.424,6,18,0.333,19,23,0.826,11,32,14,7,1,10,15,1,0,0
1,68,26,53,0.491,2,10,0.2,14,20,0.7,6,29,11,2,3,12,11,1,0,0
0,68,27,74,0.365,6,20,0.3,8,12,0.667,19,50,9,2,2,9,19,0,1,0
1,70,24,52,0.462,3,12,0.25,19,22,0.864,7,29,15,10,5,14,14,1,0,0
0,50,20,51,0.392,1,11,0.091,9,12,0.75,7,26,3,2,6,11,17,0,1,0
1,57,18,50,0.36,4,13,0.308,17,21,0.81,8,36,7,5,3,15,17,0,1,0
0,67,27,61,0.443,5,15,0.333,8,11,0.727,9,29,19,4,3,6,19,1,0,0
0,60,22,58,0.379,8,23,0.348,8,9,0.889,13,32,9,3,2,14,15,0,1,0
1,89,27,65,0.415,6,16,0.375,29,37,0.784,18,42,12,11,1,13,17,1,0,0
1,71,28,61,0.459,5,18,0.278,10,17,0.588,10,40,18,5,4,9,13,1,0,0
0,56,17,57,0.298,3,12,0.25,19,37,0.514,9,29,7,7,5,19,36,0,1,0
0,48,17,59,0.288,3,12,0.25,11,22,0.5,7,27,8,10,8,28,20,0,1,0
0,51,18,64,0.281,3,16,0.188,12,21,0.571,10,30,8,9,5,15,18,0,1,0
0,60,24,62,0.387,7,12,0.583,5,11,0.455,3,29,14,9,4,8,11,1,0,0
0,68,21,60,0.35,2,9,0.222,24,39,0.615,10,37,14,14,3,21,23,1,0,0
0,53,17,61,0.279,4,11,0.364,15,26,0.577,11,29,5,10,3,6,14,1,0,0
1,76,23,41,0.561,16,32,0.5,14,18,0.778,10,24,2,4,0,4,13,1,0,0
0,47,17,58,0.293,1,15,0.067,12,20,0.6,10,28,8,9,3,19,26,0,1,0
0,64,25,49,0.51,6,11,0.545,8,13,0.615,7,25,8,4,0,17,20,1,0,0
1,57,19,48,0.396,4,12,0.333,15,21,0.714,9,29,14,6,6,12,14,0,1,0
1,85,38,69,0.551,6,16,0.375,3,7,0.429,6,31,13,5,7,6,21,1,0,0
0,54,19,62,0.306,4,12,0.333,12,20,0.6,13,33,7,5,4,15,29,0,1,0
0,78,27,75,0.36,5,20,0.25,19,33,0.576,16,32,9,10,1,17,18,1,0,0
0,36,14,32,0.438,3,17,0.176,5,11,0.455,3,22,10,7,6,25,24,0,1,0
0,48,17,60,0.283,4,20,0.2,10,18,0.556,8,31,6,2,2,7,20,1,0,0
1,51,16,48,0.333,5,17,0.294,14,26,0.538,7,33,5,5,5,12,20,0,1,0
0,46,15,51,0.294,4,20,0.2,12,16,0.75,10,34,6,9,4,19,16,0,1,0
0,65,23,67,0.343,6,15,0.4,13,19,0.684,15,31,9,3,1,7,19,1,0,0
1,81,28,51,0.549,8,12,0.667,17,26,0.654,8,23,12,7,1,13,25,0,1,0
0,59,23,59,0.39,4,15,0.267,9,14,0.643,11,28,9,4,1,18,20,0,1,0
0,59,23,65,0.354,2,10,0.2,11,19,0.579,15,36,10,8,5,18,23,0,0,1
0,52,14,48,0.292,4,15,0.267,20,24,0.833,11,33,6,3,3,15,17,0,1,0
0,44,15,62,0.242,3,20,0.15,11,18,0.611,13,29,2,6,8,11,20,0,1,0
0,54,22,59,0.373,4,15,0.267,6,13,0.462,14,39,6,1,9,11,12,1,0,0
0,80,29,57,0.509,4,17,0.235,18,26,0.692,7,18,6,9,0,6,17,0,1,0
1,64,23,50,0.46,3,8,0.375,15,22,0.682,12,40,8,5,7,14,14,0,1,0
0,51,18,59,0.305,1,13,0.077,14,22,0.636,14,31,8,9,5,11,20,0,0,1
0,57,18,57,0.316,3,15,0.2,18,28,0.643,11,27,4,3,3,10,15,0,1,0
1,68,21,48,0.438,1,14,0.071,25,37,0.676,10,34,7,6,4,11,14,1,0,0
1,87,31,54,0.574,8,18,0.444,17,23,0.739,4,33,12,5,3,5,9,1,0,0
0,49,13,44,0.295,1,15,0.067,22,29,0.759,14,33,5,9,3,14,13,1,0,0
0,60,21,56,0.375,1,11,0.091,17,23,0.739,7,29,7,5,4,15,19,0,1,0
0,66,24,68,0.353,6,20,0.3,12,27,0.444,16,34,14,9,1,11,20,0,1,0
0,63,18,59,0.305,9,32,0.281,18,26,0.692,11,22,7,7,1,6,20,0,1,0
1,81,27,59,0.458,7,12,0.583,20,36,0.556,13,32,8,8,0,12,19,1,0,0
0,58,22,71,0.31,3,17,0.176,11,15,0.733,14,33,10,3,2,7,18,0,1,0
1,93,35,78,0.449,10,23,0.435,13,27,0.481,22,60,24,12,7,18,20,1,0,0
0,59,24,65,0.369,5,21,0.238,6,11,0.545,7,26,9,4,5,12,23,0,1,0
1,66,21,50,0.42,5,19,0.263,19,32,0.594,12,38,12,5,4,14,22,1,0,0
1,82,29,54,0.537,6,17,0.353,18,28,0.643,12,39,20,11,0,25,20,1,0,0
1,69,21,52,0.404,4,18,0.222,23,29,0.793,11,36,12,5,3,11,17,1,0,0
1,74,28,66,0.424,7,23,0.304,11,21,0.524,21,41,19,12,3,8,14,1,0,0
0,76,25,59,0.424,5,15,0.333,21,31,0.677,9,33,12,8,2,14,27,0,1,0
1,103,35,68,0.515,13,29,0.448,20,28,0.714,15,45,29,9,2,19,21,1,0,0
0,58,23,56,0.411,8,26,0.308,4,8,0.5,6,22,10,9,3,9,19,0,1,0
1,83,33,65,0.508,10,29,0.345,7,12,0.583,10,43,17,7,3,9,17,1,0,0
0,55,18,46,0.391,5,20,0.25,14,21,0.667,9,31,12,7,3,14,15,1,0,0
1,94,26,58,0.448,13,24,0.542,29,34,0.853,8,29,20,6,5,13,19,1,0,0
0,69,23,48,0.479,5,16,0.313,18,27,0.667,7,30,17,6,4,16,27,1,0,0
1,82,28,55,0.509,7,17,0.412,19,26,0.731,8,36,11,7,2,11,29,0,1,0
0,46,19,46,0.413,5,17,0.294,3,4,0.75,4,22,14,4,2,11,20,0,1,0
1,69,21,41,0.512,4,11,0.364,23,28,0.821,6,21,12,7,5,10,12,1,0,0
0,62,20,60,0.333,7,26,0.269,15,21,0.714,11,32,12,3,3,11,21,0,1,0
0,60,24,59,0.407,10,27,0.37,2,6,0.333,12,31,18,4,4,16,19,0,1,0
1,67,25,53,0.472,9,18,0.5,8,10,0.8,9,33,16,5,3,13,15,1,0,0
1,71,27,58,0.466,8,17,0.471,9,16,0.563,13,40,14,3,7,16,13,1,0,0
1,76,26,55,0.473,10,17,0.588,14,25,0.56,7,27,14,9,4,7,22,1,0,0
0,55,20,46,0.435,6,12,0.5,9,14,0.643,5,28,12,4,2,8,11,0,1,0
1,73,26,62,0.419,10,25,0.4,11,15,0.733,4,30,16,6,3,15,14,0,1,0
0,42,13,42,0.31,4,9,0.444,12,12,1,6,30,9,0,2,12,16,1,0,0
0,47,18,44,0.409,3,12,0.25,8,15,0.533,4,20,9,6,3,10,19,0,1,0
0,69,24,49,0.49,11,28,0.393,10,15,0.667,7,25,16,2,3,10,22,0,1,0
1,67,21,39,0.538,3,9,0.333,22,33,0.667,4,32,14,4,6,13,17,0,1,0
1,69,27,52,0.519,4,14,0.286,11,11,1,6,31,21,6,6,12,18,0,1,0
1,65,26,57,0.456,8,20,0.4,5,10,0.5,10,34,21,5,5,9,13,0,1,0
1,64,22,45,0.489,5,13,0.385,15,18,0.833,4,26,15,14,4,15,14,1,0,0
0,51,19,56,0.339,5,25,0.2,8,10,0.8,7,24,10,8,4,9,16,1,0,0
1,66,23,46,0.5,5,11,0.455,15,21,0.714,6,31,10,6,4,9,16,0,1,0
0,55,21,42,0.5,5,12,0.417,8,11,0.727,0,16,10,7,3,18,16,0,1,0
